S:01:0039
S:02:0057
S:03:0097
S:04:0170
S:05:0212
S:06:0345
S:07:0387
S:08:0479
S:09:0506
S:10:0588
S:11:0615
S:12:0647
S:13:0674
S:14:0764
S:15:0792
S:16:0862
S:17:0889
S:18:0917
S:19:0929
S:20:1047
S:21:1075
S:22:1113
S:23:1206
S:24:1234
S:25:1246
S:26:1259
S:27:1281
S:28:1397
S:29:1427
S:30:1454
S:31:1476
S:32:1598
S:33:1621
S:34:1632
S:35:1643
S:36:1654
S:37:1664
S:38:1780
S:39:1830
S:40:1847
E:01:1849
E:02:1850
E:03:1850
E:04:1850
E:05:1851
E:06:1851
E:07:1851
E:08:1852
E:09:1852
E:11:1853
E:10:1853
E:12:1853
E:13:1854
E:14:1854
E:16:1854
E:15:1855
E:17:1855
E:18:1856
E:19:1857
E:20:1857
E:21:1857
E:22:1858
E:23:1858
E:24:2354
E:25:2374
E:29:2389
E:27:2402
E:26:2528
E:33:2528
E:32:2542
E:39:2648
E:31:2653
E:28:2722
E:35:2724
E:30:2727
E:40:2729
E:38:2731
E:37:2733
E:36:2734
E:34:2740
