S:0:6
S:1:8
S:2:8
S:3:9
S:4:9
S:5:9
S:6:9
S:7:9
S:8:9
S:9:9
S:10:9
S:11:10
S:12:10
S:13:10
S:14:10
S:15:10
S:16:10
S:17:10
S:18:10
S:19:10
S:20:11
S:21:11
S:22:11
S:23:11
S:24:11
S:25:11
S:26:11
S:27:11
S:28:11
S:29:11
S:30:11
S:31:12
S:32:12
S:33:12
S:34:13
S:35:13
S:36:13
S:37:13
S:38:13
S:39:13
E:0:50:Total:  1
E:5:54:Total:  2
E:1:56:Total:  3
E:6:59:Total:  4
E:8:59:Total:  5
E:9:61:Total:  6
E:17:63:Total:  7
E:15:64:Total:  8
E:16:64:Total:  9
E:11:65:Total:  10
E:18:66:Total:  11
E:12:66:Total:  12
E:13:69:Total:  13
E:14:70:Total:  14
E:22:70:Total:  15
E:26:71:Total:  16
E:28:71:Total:  17
E:27:72:Total:  18
E:30:74:Total:  19
E:31:75:Total:  20
E:33:75:Total:  21
E:24:76:Total:  22
E:32:76:Total:  23
E:29:77:Total:  24
E:36:77:Total:  25
E:37:78:Total:  26
E:38:79:Total:  27
E:34:79:Total:  28
E:35:80:Total:  29
E:23:81:Total:  30
E:20:82:Total:  31
E:3:83:Total:  32
E:21:84:Total:  33
E:39:84:Total:  34
E:19:85:Total:  35
E:25:86:Total:  36
E:4:87:Total:  37
E:2:88:Total:  38
E:7:91:Total:  39
E:10:93:Total:  40
