S:01:0014
S:02:0030
S:03:0038
S:04:0051
S:05:0063
S:06:0071
S:07:0080
S:08:0089
S:09:0100
S:10:0108
S:11:0114
S:12:0121
S:13:0129
S:14:0136
S:15:0144
S:16:0155
S:17:0158
S:18:0161
S:19:0164
S:20:0166
S:21:0169
S:22:0171
S:23:0173
S:24:0175
S:25:0177
S:26:0179
S:27:0181
S:28:0183
S:29:0185
S:30:0187
S:31:0188
S:32:0191
S:33:0193
S:34:0195
S:35:0197
S:36:0199
S:37:0202
S:38:0203
S:39:0206
S:40:0208
E:01:0209
E:30:0258
E:29:0263
E:28:0268
E:27:0273
E:26:0278
E:25:0283
E:24:0289
E:35:0294
E:23:0299
E:32:0304
E:22:0310
E:02:0315
E:31:0320
E:03:0325
E:21:0330
E:20:0336
E:19:0341
E:18:0346
E:17:0351
E:16:0356
E:15:0361
E:14:0366
E:13:0371
E:12:0377
E:11:0382
E:34:0387
E:10:0392
E:09:0398
E:33:0404
E:08:0409
E:07:0417
E:06:0426
E:05:0434
E:04:0476
E:37:0492
E:40:0497
E:39:0505
E:38:0511
E:36:0518
