S:01:0020
S:02:0035
S:03:0050
S:04:0061
S:05:0074
S:06:0087
S:07:0095
S:08:0115
S:09:0129
S:10:0143
S:11:0150
S:12:0156
S:13:0162
S:14:0164
S:15:0166
S:16:0168
S:17:0170
S:18:0172
S:19:0175
S:20:0177
S:21:0180
S:22:0182
S:23:0184
S:24:0186
S:25:0188
S:26:0189
S:27:0191
S:28:0193
S:29:0199
S:30:0203
S:31:0206
S:32:0209
S:33:0211
S:34:0213
S:35:0215
S:36:0218
S:37:0220
S:38:0222
S:39:0224
S:40:0227
E:06:0440
E:02:0479
E:01:0537
E:22:0738
E:26:0833
E:28:0857
E:27:0897
E:33:0919
E:25:0983
E:35:1037
E:07:1088
E:08:1223
E:30:1250
E:10:1273
E:29:1319
E:23:1348
E:21:1374
E:03:1397
E:40:1423
E:24:1505
E:20:1642
E:32:1681
E:36:1725
E:04:1749
E:38:1753
E:16:1822
E:37:1882
E:09:1935
E:34:1959
E:15:1983
E:13:2024
E:12:2072
E:11:2114
E:05:2136
E:19:2157
E:18:2194
E:14:2231
E:31:2251
E:39:2256
E:17:2293
