S:0:5
S:1:7
S:2:7
S:3:7
S:4:7
S:5:7
S:6:7
S:7:8
S:8:8
S:9:8
S:10:8
S:11:8
S:12:8
S:13:8
S:14:8
S:15:8
S:16:9
S:17:9
S:18:9
S:19:9
S:20:9
S:21:9
S:22:9
S:23:9
S:24:9
S:25:9
S:26:10
S:27:10
S:28:10
S:29:10
S:30:10
S:31:10
S:32:10
S:33:10
S:34:10
S:35:11
S:36:11
S:37:11
S:38:11
S:39:11
E:1:37:Total:  1
E:0:40:Total:  2
E:2:43:Total:  3
E:3:44:Total:  4
E:5:44:Total:  5
E:9:45:Total:  6
E:14:46:Total:  7
E:8:46:Total:  8
E:16:47:Total:  9
E:17:47:Total:  10
E:19:47:Total:  11
E:20:48:Total:  12
E:22:48:Total:  13
E:18:48:Total:  14
E:23:49:Total:  15
E:21:49:Total:  16
E:24:49:Total:  17
E:25:50:Total:  18
E:26:50:Total:  19
E:27:51:Total:  20
E:15:51:Total:  21
E:32:51:Total:  22
E:30:52:Total:  23
E:33:52:Total:  24
E:34:52:Total:  25
E:35:53:Total:  26
E:36:53:Total:  27
E:37:54:Total:  28
E:38:54:Total:  29
E:31:54:Total:  30
E:28:55:Total:  31
E:39:55:Total:  32
E:29:56:Total:  33
E:4:57:Total:  34
E:11:58:Total:  35
E:12:58:Total:  36
E:13:63:Total:  37
E:7:64:Total:  38
E:10:64:Total:  39
E:6:66:Total:  40
