S:01:0004
S:02:0008
S:03:0017
S:04:0036
S:05:0052
S:06:0065
S:07:0094
S:08:0113
S:09:0122
S:10:0142
S:11:0148
S:12:0152
S:13:0156
S:14:0160
S:15:0164
S:16:0169
S:17:0173
S:18:0177
S:19:0183
S:20:0187
S:21:0192
S:22:0197
S:23:0201
S:24:0210
S:25:0217
S:26:0221
S:27:0226
S:28:0229
S:29:0232
S:30:0236
S:31:0239
S:32:0242
S:33:0257
S:34:0271
S:35:0307
S:36:0313
S:37:0317
S:38:0321
S:39:0325
S:40:0332
E:01:0342
E:02:0342
E:03:0343
E:04:0351
E:05:0802
E:06:0971
E:09:1443
E:07:2638
E:11:2645
E:34:2651
E:12:2689
E:24:2689
E:08:2738
E:19:2744
E:40:2772
E:38:2917
E:16:2944
E:22:3009
E:18:3013
E:39:3081
E:20:3167
E:21:3169
E:33:3170
E:30:3233
E:13:3312
E:28:3401
E:25:3424
E:29:3438
E:27:3439
E:35:3441
E:32:3474
E:31:3477
E:26:3483
E:37:3486
E:36:3507
E:14:4067
E:15:4111
E:10:4115
E:23:4130
E:17:4927
