S:01:0072
S:02:0075
S:03:0078
S:04:0081
S:05:0084
S:06:0087
S:07:0091
S:08:0101
S:09:0104
S:10:0106
S:11:0109
S:12:0111
S:13:0114
S:14:0116
S:15:0119
S:16:0121
S:17:0123
S:18:0125
S:19:0127
S:20:0129
S:21:0132
S:22:0134
S:23:0136
S:24:0139
S:25:0142
S:26:0144
S:27:0146
S:28:0150
S:29:0152
S:30:0155
S:31:0157
S:32:0160
S:33:0164
S:34:0170
S:35:0173
S:36:0177
S:37:0181
S:38:0185
S:39:0188
S:40:0192
E:12:1670
E:29:1715
E:39:1807
E:32:1865
E:10:1910
E:11:1981
E:37:2025
E:18:2107
E:06:2165
E:31:2228
E:25:2266
E:27:2359
E:22:2412
E:20:2469
E:13:2504
E:07:2565
E:01:2600
E:09:2677
E:16:2709
E:15:2758
E:04:2785
E:19:2894
E:24:2930
E:26:2961
E:38:3024
E:02:3068
E:17:3162
E:05:3208
E:36:3237
E:34:3285
E:40:3326
E:33:3395
E:14:3431
E:30:3492
E:03:3519
E:28:3547
E:21:3593
E:35:3644
E:08:3705
E:23:3750
